date,body_part,exercise,set_no,weight_kg,reps,volume_kg
2023-10-07,Arms,EZ bar curls,2,10.0,10.0,100.0
2023-10-07,Arms,Preacher curls,2,10.0,10.0,100.0
2023-10-07,Arms,Preacher curls,3,15.0,5.0,75.0
2023-10-07,Arms,Overhand tricep extensions,1,20.0,17.0,340.0
2023-10-07,Arms,Single arm pushback,3,10.0,10.0,100.0
2023-10-09,Pull,Lateral pullover,3,20.0,10.0,200.0
2023-10-09,Pull,Preacher curls,4,15.0,6.0,90.0
2023-10-09,Pull,Preacher curls,3,10.0,10.0,100.0
2023-10-09,Pull,Preacher curls,2,5.0,13.0,65.0
2023-10-09,Pull,Preacher curls,1,3.0,20.0,60.0
2023-10-09,Pull,Reverse Pec Dec,3,25.0,7.0,175.0
2023-10-09,Pull,Reverse Pec Dec,2,20.0,10.0,200.0
2023-10-09,Pull,Lateral pullover,2,15.0,11.0,165.0
2023-10-09,Pull,Reverse Pec Dec,1,15.0,14.0,210.0
2023-10-09,Pull,Rows,4,40.0,7.0,280.0
2023-10-09,Pull,Lateral pullover,1,10.0,13.0,130.0
2023-10-09,Pull,Rows,3,35.0,8.0,280.0
2023-10-09,Pull,Rows,2,30.0,10.0,300.0
2023-10-09,Pull,Rows,1,25.0,11.0,275.0
2023-10-09,Pull,Lat Pulldown,3,40.0,7.0,280.0
2023-10-09,Pull,Lat Pulldown,2,35.0,8.0,280.0
2023-10-09,Pull,Lat Pulldown,1,30.0,10.0,300.0
2023-10-10,Push,Lat raises,1,3.0,20.0,60.0
2023-10-10,Push,Lat raises,2,5.0,20.0,100.0
2023-10-10,Push,Lat raises,3,7.5,6.0,45.0
2023-10-10,Push,Triceps pushdown,2,25.0,13.0,325.0
2023-10-10,Push,Lat raises,5,5.0,10.0,50.0
2023-10-10,Push,Triceps pushdown,1,20.0,15.0,300.0
2023-10-10,Push,Overhead triceps extension,3,25.0,10.0,250.0
2023-10-10,Push,Lat raises,4,5.0,20.0,100.0
2023-10-10,Push,Overhead triceps extension,2,20.0,11.0,220.0
2023-10-10,Push,Triceps pushdown,3,30.0,10.0,300.0
2023-10-10,Push,Pec Dec,4,35.0,7.0,245.0
2023-10-10,Push,Pec Dec,3,30.0,6.0,180.0
2023-10-10,Push,Pec Dec,2,25.0,12.0,300.0
2023-10-10,Push,Pec Dec,1,20.0,15.0,300.0
2023-10-10,Push,Incline dumbbell press,4,17.5,12.0,210.0
2023-10-10,Push,Incline dumbbell press,3,17.5,10.0,175.0
2023-10-10,Push,Incline dumbbell press,2,15.0,8.0,120.0
2023-10-10,Push,Incline dumbbell press,1,12.5,12.0,150.0
2023-10-10,Push,Overhead triceps extension,1,15.0,14.0,210.0
2023-10-11,Legs,Calf raises,3,20.0,10.0,200.0
2023-10-11,Legs,Calf raises,4,20.0,10.0,200.0
2023-10-11,Legs,Calf raises,5,20.0,8.0,160.0
2023-10-11,Legs,Leg extension,1,30.0,9.0,270.0
2023-10-11,Legs,OHP,2,15.0,8.0,120.0
2023-10-11,Legs,Leg extension,3,40.0,8.0,320.0
2023-10-11,Legs,OHP,1,12.5,12.0,150.0
2023-10-11,Legs,OHP,3,15.0,8.0,120.0
2023-10-11,Legs,Leg extension,2,35.0,9.0,315.0
2023-10-11,Legs,Calf raises,2,17.5,14.0,245.0
2023-10-11,Legs,Leg press,4,30.0,15.0,450.0
2023-10-11,Legs,Leg press,5,40.0,12.0,480.0
2023-10-11,Legs,Leg press,3,20.0,15.0,300.0
2023-10-11,Legs,Leg press,2,10.0,15.0,150.0
2023-10-11,Legs,Leg press,1,56.0,15.0,840.0
2023-10-11,Legs,Lying leg curls,5,15.0,6.0,90.0
2023-10-11,Legs,Lying leg curls,4,15.0,8.0,120.0
2023-10-11,Legs,Lying leg curls,3,15.0,10.0,150.0
2023-10-11,Legs,Lying leg curls,2,15.0,10.0,150.0
2023-10-11,Legs,Lying leg curls,1,10.0,11.0,110.0
2023-10-11,Legs,Calf raises,1,15.0,15.0,225.0
2023-10-13,Upper,Cable rows,2,35.0,9.0,315.0
2023-10-13,Upper,Reverse Pec Dec,2,25.0,8.0,200.0
2023-10-13,Upper,Lat raises,1,5.0,10.0,50.0
2023-10-13,Upper,Preacher curls/Triceps extension,2,15.0,6.0,90.0
2023-10-13,Upper,Preacher curls/Triceps extension,1,15.0,6.0,90.0
2023-10-13,Upper,Cable rows,1,40.0,8.0,320.0
2023-10-13,Upper,Reverse Pec Dec,1,20.0,10.0,200.0
2023-10-13,Upper,Lat pulldown,1,40.0,7.0,280.0
2023-10-13,Upper,Pec deck,2,30.0,8.0,240.0
2023-10-13,Upper,Pec deck,1,25.0,13.0,325.0
2023-10-13,Upper,Incline dumbbell press,2,17.5,8.0,140.0
2023-10-13,Upper,Lat pulldown,2,40.0,8.0,320.0
2023-10-13,Upper,Incline dumbbell press,1,17.5,12.0,210.0
2023-10-14,Lower,Leg extension,3,45.0,7.0,315.0
2023-10-14,Lower,Leg extension,2,45.0,6.0,270.0
2023-10-14,Lower,Leg extension,1,40.0,9.0,360.0
2023-10-14,Lower,Calf raises,5,20.0,10.0,200.0
2023-10-14,Lower,Calf raises,4,20.0,10.0,200.0
2023-10-14,Lower,Calf raises,3,20.0,11.0,220.0
2023-10-14,Lower,Calf raises,2,17.5,12.0,210.0
2023-10-14,Lower,Calf raises,1,15.0,13.0,195.0
2023-10-14,Lower,Leg press,5,50.0,11.0,550.0
2023-10-14,Lower,Lying Leg curls,1,10.0,11.0,110.0
2023-10-14,Lower,Leg press,3,50.0,10.0,500.0
2023-10-14,Lower,Leg press,2,45.0,12.0,540.0
2023-10-14,Lower,Leg press,1,40.0,12.0,480.0
2023-10-14,Lower,Lying Leg curls,5,15.0,6.0,90.0
2023-10-14,Lower,Lying Leg curls,4,15.0,6.0,90.0
2023-10-14,Lower,Lying Leg curls,3,15.0,8.0,120.0
2023-10-14,Lower,Lying Leg curls,2,15.0,8.0,120.0
2023-10-14,Lower,Leg press,4,50.0,11.0,550.0
2023-10-16,Pull,Rev pec dec,2,20.0,9.0,180.0
2023-10-16,Pull,Rev pec dec,3,20.0,9.0,180.0
2023-10-16,Pull,Preacher curls,1,10.0,12.0,120.0
2023-10-16,Pull,Rev pec dec,1,20.0,9.0,180.0
2023-10-16,Pull,Preacher curls,3,10.0,12.0,120.0
2023-10-16,Pull,Preacher curls,4,10.0,12.0,120.0
2023-10-16,Pull,Preacher curls,2,10.0,12.0,120.0
2023-10-16,Pull,Lat pullover,3,15.0,10.0,150.0
2023-10-16,Pull,Lat Pulldown,1,40.0,9.0,360.0
2023-10-16,Pull,Lat pullover,1,15.0,12.0,180.0
2023-10-16,Pull,Cable rows,4,30.0,10.0,300.0
2023-10-16,Pull,Cable rows,3,30.0,11.0,330.0
2023-10-16,Pull,Cable rows,2,30.0,11.0,330.0
2023-10-16,Pull,Cable rows,1,30.0,12.0,360.0
2023-10-16,Pull,Lat Pulldown,3,40.0,7.0,280.0
2023-10-16,Pull,Lat Pulldown,2,40.0,8.0,320.0
2023-10-16,Pull,Lat pullover,2,15.0,12.0,180.0
2023-10-17,Push,Lat raises,1,5.0,20.0,100.0
2023-10-17,Push,Lat raises,2,5.0,19.0,95.0
2023-10-17,Push,Lat raises,3,5.0,17.0,85.0
2023-10-17,Push,Triceps pushdown,2,25.0,10.0,250.0
2023-10-17,Push,Triceps pushdown,3,25.0,10.0,250.0
2023-10-17,Push,Triceps pushdown,1,25.0,13.0,325.0
2023-10-17,Push,Overhead triceps extension,3,5.0,14.0,70.0
2023-10-17,Push,Lat raises,4,5.0,20.0,100.0
2023-10-17,Push,Overhead triceps extension,2,5.0,12.0,60.0
2023-10-17,Push,Lat raises,5,5.0,19.0,95.0
2023-10-17,Push,Flat barbell press,4,15.0,12.0,180.0
2023-10-17,Push,Incline dumbbell press,1,17.5,8.0,140.0
2023-10-17,Push,Incline dumbbell press,2,17.5,10.0,175.0
2023-10-17,Push,Incline dumbbell press,3,17.5,6.0,105.0
2023-10-17,Push,Overhead triceps extension,1,5.0,14.0,70.0
2023-10-17,Push,Flat barbell press,1,15.0,12.0,180.0
2023-10-17,Push,Flat barbell press,2,30.0,8.0,240.0
2023-10-17,Push,Flat barbell press,3,15.0,12.0,180.0
2023-10-17,Push,Incline dumbbell press,4,17.5,6.0,105.0
2023-10-18,Legs,Calf raises,4,20.0,8.0,160.0
2023-10-18,Legs,Leg extension,3,40.0,9.0,360.0
2023-10-18,Legs,Leg extension,2,40.0,9.0,360.0
2023-10-18,Legs,Leg extension,1,40.0,10.0,400.0
2023-10-18,Legs,OHP,3,12.5,12.0,150.0
2023-10-18,Legs,OHP,2,12.5,11.0,137.5
2023-10-18,Legs,OHP,1,12.5,10.0,125.0
2023-10-18,Legs,Calf raises,5,20.0,8.0,160.0
2023-10-18,Legs,Calf raises,2,17.5,13.0,227.5
2023-10-18,Legs,Calf raises,3,20.0,11.0,220.0
2023-10-18,Legs,Leg press,5,50.0,10.0,500.0
2023-10-18,Legs,Leg press,4,50.0,8.0,400.0
2023-10-18,Legs,Leg press,3,50.0,11.0,550.0
2023-10-18,Legs,Leg press,2,50.0,11.0,550.0
2023-10-18,Legs,Leg press,1,50.0,9.0,450.0
2023-10-18,Legs,Lying Leg curls,4,15.0,6.0,90.0
2023-10-18,Legs,Lying Leg curls,3,15.0,8.0,120.0
2023-10-18,Legs,Lying Leg curls,2,15.0,11.0,165.0
2023-10-18,Legs,Lying Leg curls,1,15.0,10.0,150.0
2023-10-18,Legs,Calf raises,1,15.0,16.0,240.0
2023-10-20,Upper,Flat bench press,3,10.0,10.0,100.0
2023-10-20,Upper,Preacher curls,1,10.0,10.0,100.0
2023-10-20,Upper,Preacher curls,2,10.0,10.0,100.0
2023-10-20,Upper,Preacher curls,3,10.0,10.0,100.0
2023-10-20,Upper,Overhead Triceps extension,1,5.0,14.0,70.0
2023-10-20,Upper,Rev pec dec,2,15.0,13.0,195.0
2023-10-20,Upper,Overhead Triceps extension,3,5.0,15.0,75.0
2023-10-20,Upper,Rev pec dec,3,15.0,13.0,195.0
2023-10-20,Upper,Rev pec dec,1,15.0,15.0,225.0
2023-10-20,Upper,Flat bench press,2,10.0,11.0,110.0
2023-10-20,Upper,Overhead Triceps extension,2,5.0,15.0,75.0
2023-10-20,Upper,Flat bench press,1,10.0,8.0,80.0
2023-10-20,Upper,Lat Pulldown,3,35.0,8.0,280.0
2023-10-20,Upper,Lateral raises,2,5.0,20.0,100.0
2023-10-20,Upper,Lateral raises,1,5.0,18.0,90.0
2023-10-20,Upper,Incline dumbbell press,3,15.0,11.0,165.0
2023-10-20,Upper,Incline dumbbell press,2,15.0,11.0,165.0
2023-10-20,Upper,Incline dumbbell press,1,15.0,10.0,150.0
2023-10-20,Upper,Cable rows,3,25.0,12.0,300.0
2023-10-20,Upper,Cable rows,2,25.0,13.0,325.0
2023-10-20,Upper,Cable rows,1,25.0,12.0,300.0
2023-10-20,Upper,Lat Pulldown,2,35.0,9.0,315.0
2023-10-20,Upper,Lat Pulldown,1,35.0,10.0,350.0
2023-10-20,Upper,Lateral raises,3,5.0,20.0,100.0
2023-10-21,Lower,Calf raises,4,20.0,10.0,200.0
2023-10-21,Lower,Calf raises,5,20.0,9.0,180.0
2023-10-21,Lower,OHP,1,12.5,11.0,137.5
2023-10-21,Lower,OHP,2,12.5,12.0,150.0
2023-10-21,Lower,Calf raises,3,20.0,10.0,200.0
2023-10-21,Lower,Leg extension,1,40.0,9.0,360.0
2023-10-21,Lower,Leg extension,2,40.0,10.0,400.0
2023-10-21,Lower,Leg extension,3,40.0,10.0,400.0
2023-10-21,Lower,OHP,3,12.5,15.0,187.5
2023-10-21,Lower,Calf raises,2,17.5,12.0,210.0
2023-10-21,Lower,Lying Leg curls,5,20.0,5.0,100.0
2023-10-21,Lower,Leg press,5,50.0,8.0,400.0
2023-10-21,Lower,Lying Leg curls,2,15.0,10.0,150.0
2023-10-21,Lower,Lying Leg curls,3,15.0,8.0,120.0
2023-10-21,Lower,Lying Leg curls,4,15.0,8.0,120.0
2023-10-21,Lower,Calf raises,1,15.0,15.0,225.0
2023-10-21,Lower,Lying Leg curls,1,15.0,10.0,150.0
2023-10-21,Lower,Leg press,2,50.0,10.0,500.0
2023-10-21,Lower,Leg press,3,50.0,9.0,450.0
2023-10-21,Lower,Leg press,4,50.0,8.0,400.0
2023-10-21,Lower,Leg press,1,50.0,10.0,500.0
2023-10-23,Pull,Preacher curls,4,10.0,9.0,90.0
2023-10-23,Pull,Preacher curls,3,10.0,9.0,90.0
2023-10-23,Pull,Preacher curls,2,10.0,8.0,80.0
2023-10-23,Pull,Preacher curls,1,10.0,11.0,110.0
2023-10-23,Pull,Rev pec dec,3,20.0,7.0,140.0
2023-10-23,Pull,Rev pec dec,2,20.0,8.0,160.0
2023-10-23,Pull,Rev pec dec,1,15.0,13.0,195.0
2023-10-23,Pull,Lat pullover,3,15.0,20.0,300.0
2023-10-23,Pull,Lat pullover,2,15.0,13.0,195.0
2023-10-23,Pull,Lat pullover,1,15.0,10.0,150.0
2023-10-23,Pull,Cable rows,4,30.0,11.0,330.0
2023-10-23,Pull,Cable rows,3,25.0,10.0,250.0
2023-10-23,Pull,Cable rows,2,30.0,12.0,360.0
2023-10-23,Pull,Cable rows,1,30.0,12.0,360.0
2023-10-23,Pull,Lat Pulldown,3,40.0,8.0,320.0
2023-10-23,Pull,Lat Pulldown,2,40.0,8.0,320.0
2023-10-23,Pull,Lat Pulldown,1,40.0,7.0,280.0
2023-10-30,Legs,Calf raises,3,20.0,9.0,180.0
2023-10-30,Legs,Calf raises,4,20.0,10.0,200.0
2023-10-30,Legs,Calf raises,5,20.0,10.0,200.0
2023-10-30,Legs,Leg extension,2,40.0,9.0,360.0
2023-10-30,Legs,OHP,2,12.5,13.0,162.5
2023-10-30,Legs,OHP,3,12.5,13.0,162.5
2023-10-30,Legs,Calf raises,2,17.5,11.0,192.5
2023-10-30,Legs,OHP,1,12.5,12.0,150.0
2023-10-30,Legs,Calf raises,1,15.0,14.0,210.0
2023-10-30,Legs,Leg extension,1,40.0,10.0,400.0
2023-10-30,Legs,Leg press,4,50.0,9.0,450.0
2023-10-30,Legs,Leg press,5,50.0,10.0,500.0
2023-10-30,Legs,Lying Leg curls,2,15.0,9.0,135.0
2023-10-30,Legs,Lying Leg curls,3,15.0,9.0,135.0
2023-10-30,Legs,Lying Leg curls,4,15.0,7.0,105.0
2023-10-30,Legs,Lying Leg curls,1,10.0,11.0,110.0
2023-10-30,Legs,Leg press,1,40.0,15.0,600.0
2023-10-30,Legs,Leg press,2,50.0,9.0,450.0
2023-10-30,Legs,Leg press,3,50.0,9.0,450.0
2023-10-30,Legs,Lying Leg curls,5,15.0,10.0,150.0
2023-10-31,Push,Triceps pushdown,3,20.0,14.0,280.0
2023-10-31,Push,Overhead triceps extension,3,5.0,9.0,45.0
2023-10-31,Push,Triceps pushdown,1,20.0,13.0,260.0
2023-10-31,Push,Lateral raises,5,5.0,16.0,80.0
2023-10-31,Push,Lateral raises,4,5.0,15.0,75.0
2023-10-31,Push,Lateral raises,3,5.0,16.0,80.0
2023-10-31,Push,Lateral raises,2,5.0,14.0,70.0
2023-10-31,Push,Lateral raises,1,5.0,17.0,85.0
2023-10-31,Push,Overhead triceps extension,2,5.0,10.0,50.0
2023-10-31,Push,Triceps pushdown,2,20.0,13.0,260.0
2023-10-31,Push,Bench press,4,35.0,9.0,315.0
2023-10-31,Push,Incline dumbbell press,1,15.0,10.0,150.0
2023-10-31,Push,Incline dumbbell press,2,15.0,9.0,135.0
2023-10-31,Push,Incline dumbbell press,3,15.0,8.0,120.0
2023-10-31,Push,Overhead triceps extension,1,5.0,13.0,65.0
2023-10-31,Push,Bench press,1,30.0,8.0,240.0
2023-10-31,Push,Bench press,2,30.0,10.0,300.0
2023-10-31,Push,Bench press,3,30.0,15.0,450.0
2023-10-31,Push,Incline dumbbell press,4,15.0,8.0,120.0
2023-11-01,Pull,Lat pullover,3,15.0,14.0,210.0
2023-11-01,Pull,Preacher curls,3,5.0,10.0,50.0
2023-11-01,Pull,Preacher curls,2,10.0,10.0,100.0
2023-11-01,Pull,Preacher curls,1,10.0,10.0,100.0
2023-11-01,Pull,Rev pec dec,3,15.0,11.0,165.0
2023-11-01,Pull,Rev pec dec,2,15.0,14.0,210.0
2023-11-01,Pull,Rev pec dec,1,15.0,12.0,180.0
2023-11-01,Pull,Preacher curls,4,15.0,4.0,60.0
2023-11-01,Pull,Lat pullover,2,15.0,11.0,165.0
2023-11-01,Pull,Cable rows,4,20.0,15.0,300.0
2023-11-01,Pull,Cable rows,3,20.0,15.0,300.0
2023-11-01,Pull,Cable rows,2,25.0,13.0,325.0
2023-11-01,Pull,Cable rows,1,25.0,12.0,300.0
2023-11-01,Pull,Lat Pulldown,3,35.0,10.0,350.0
2023-11-01,Pull,Lat Pulldown,2,35.0,8.0,280.0
2023-11-01,Pull,Lat Pulldown,1,35.0,8.0,280.0
2023-11-01,Pull,Lat pullover,1,15.0,14.0,210.0
2023-11-03,Lower,Calf raises,3,17.5,10.0,175.0
2023-11-03,Lower,Calf raises,4,17.5,10.0,175.0
2023-11-03,Lower,Calf raises,5,17.5,10.0,175.0
2023-11-03,Lower,Leg extension,1,40.0,8.0,320.0
2023-11-03,Lower,OHP,2,12.5,12.0,150.0
2023-11-03,Lower,OHP,3,12.5,12.0,150.0
2023-11-03,Lower,Calf raises,2,15.0,14.0,210.0
2023-11-03,Lower,OHP,1,12.5,12.0,150.0
2023-11-03,Lower,Calf raises,1,15.0,15.0,225.0
2023-11-03,Lower,Leg extension,2,40.0,9.0,360.0
2023-11-03,Lower,Lying leg curls,4,15.0,9.0,135.0
2023-11-03,Lower,Lying leg curls,3,15.0,8.0,120.0
2023-11-03,Lower,Lying leg curls,2,15.0,10.0,150.0
2023-11-03,Lower,Lying leg curls,1,15.0,11.0,165.0
2023-11-03,Lower,Leg press,5,50.0,10.0,500.0
2023-11-03,Lower,Leg press,4,50.0,9.0,450.0
2023-11-03,Lower,Leg press,3,50.0,10.0,500.0
2023-11-03,Lower,Leg press,2,50.0,11.0,550.0
2023-11-03,Lower,Leg press,1,50.0,10.0,500.0
2023-11-03,Lower,Lying leg curls,5,15.0,8.0,120.0
2023-11-04,Upper,Lateral raises,3,5.0,17.0,85.0
2023-11-04,Upper,Preacher curls,1,10.0,10.0,100.0
2023-11-04,Upper,Preacher curls,2,10.0,10.0,100.0
2023-11-04,Upper,Preacher curls,3,10.0,10.0,100.0
2023-11-04,Upper,Rev pec dec,3,15.0,11.0,165.0
2023-11-04,Upper,Tricep extensions,2,5.0,14.0,70.0
2023-11-04,Upper,Tricep extensions,3,5.0,13.0,65.0
2023-11-04,Upper,Rev pec dec,2,15.0,11.0,165.0
2023-11-04,Upper,Lateral raises,2,5.0,20.0,100.0
2023-11-04,Upper,Tricep extensions,1,5.0,15.0,75.0
2023-11-04,Upper,Lateral raises,1,5.0,16.0,80.0
2023-11-04,Upper,Rev pec dec,1,15.0,13.0,195.0
2023-11-04,Upper,Bench press,2,30.0,10.0,300.0
2023-11-04,Upper,Lat Pulldown,1,35.0,10.0,350.0
2023-11-04,Upper,Bench press,3,30.0,10.0,300.0
2023-11-04,Upper,Lat Pulldown,3,35.0,8.0,280.0
2023-11-04,Upper,Cable rows,1,25.0,12.0,300.0
2023-11-04,Upper,Cable rows,2,25.0,13.0,325.0
2023-11-04,Upper,Lat Pulldown,2,35.0,9.0,315.0
2023-11-04,Upper,Incline dumbbell press,1,15.0,10.0,150.0
2023-11-04,Upper,Incline dumbbell press,2,15.0,10.0,150.0
2023-11-04,Upper,Incline dumbbell press,3,15.0,9.0,135.0
2023-11-04,Upper,Bench press,1,30.0,10.0,300.0
2023-11-04,Upper,Cable rows,3,25.0,13.0,325.0
2023-11-06,Legs,Leg extension,2,40.0,10.0,400.0
2023-11-06,Legs,Leg extension,1,40.0,10.0,400.0
2023-11-06,Legs,OHP,3,15.0,8.0,120.0
2023-11-06,Legs,OHP,2,12.5,12.0,150.0
2023-11-06,Legs,OHP,1,12.5,12.0,150.0
2023-11-06,Legs,Calf raises,5,15.0,11.0,165.0
2023-11-06,Legs,Calf raises,4,15.0,10.0,150.0
2023-11-06,Legs,Calf raises,3,15.0,11.0,165.0
2023-11-06,Legs,Calf raises,2,17.5,10.0,175.0
2023-11-06,Legs,Calf raises,1,15.0,13.0,195.0
2023-11-06,Legs,Lying Leg curls,4,15.0,9.0,135.0
2023-11-06,Legs,Lying Leg curls,3,15.0,9.0,135.0
2023-11-06,Legs,Lying Leg curls,2,15.0,9.0,135.0
2023-11-06,Legs,Lying Leg curls,1,15.0,10.0,150.0
2023-11-06,Legs,Leg press,5,50.0,10.0,500.0
2023-11-06,Legs,Leg press,4,50.0,8.0,400.0
2023-11-06,Legs,Leg press,3,50.0,11.0,550.0
2023-11-06,Legs,Leg press,2,50.0,12.0,600.0
2023-11-06,Legs,Leg press,1,50.0,10.0,500.0
2023-11-06,Legs,Lying Leg curls,5,15.0,7.0,105.0
2023-11-07,Push,Lateral raises,2,5.0,18.0,90.0
2023-11-07,Push,Lateral raises,3,5.0,17.0,85.0
2023-11-07,Push,Lateral raises,4,5.0,17.0,85.0
2023-11-07,Push,Lateral raises,1,5.0,17.0,85.0
2023-11-07,Push,Triceps pushdown,3,25.0,11.0,275.0
2023-11-07,Push,Triceps pushdown,1,20.0,16.0,320.0
2023-11-07,Push,Triceps pushdown,2,25.0,12.0,300.0
2023-11-07,Push,Lateral raises,5,5.0,17.0,85.0
2023-11-07,Push,Overhead triceps extension,3,5.0,12.0,60.0
2023-11-07,Push,Incline dumbbell press,3,15.0,8.0,120.0
2023-11-07,Push,Overhead triceps extension,1,5.0,13.0,65.0
2023-11-07,Push,Bench press,4,30.0,10.0,300.0
2023-11-07,Push,Bench press,3,30.0,8.0,240.0
2023-11-07,Push,Bench press,2,30.0,10.0,300.0
2023-11-07,Push,Bench press,1,30.0,9.0,270.0
2023-11-07,Push,Incline dumbbell press,4,15.0,8.0,120.0
2023-11-07,Push,Incline dumbbell press,2,15.0,11.0,165.0
2023-11-07,Push,Incline dumbbell press,1,15.0,10.0,150.0
2023-11-07,Push,Overhead triceps extension,2,5.0,12.0,60.0
2023-11-08,Pull,Reverse Pec Dec,1,15.0,15.0,225.0
2023-11-08,Pull,Reverse Pec Dec,2,15.0,13.0,195.0
2023-11-08,Pull,Reverse Pec Dec,3,15.0,12.0,180.0
2023-11-08,Pull,Preacher curls,4,10.0,9.0,90.0
2023-11-08,Pull,Preacher curls,2,10.0,10.0,100.0
2023-11-08,Pull,Cable rows,4,25.0,14.0,350.0
2023-11-08,Pull,Preacher curls,1,10.0,12.0,120.0
2023-11-08,Pull,Cable rows,3,25.0,13.0,325.0
2023-11-08,Pull,Preacher curls,3,10.0,10.0,100.0
2023-11-08,Pull,Cable rows,1,25.0,13.0,325.0
2023-11-08,Pull,Lat pulldown,3,35.0,8.0,280.0
2023-11-08,Pull,Lat pulldown,2,35.0,9.0,315.0
2023-11-08,Pull,Lat pulldown,1,35.0,10.0,350.0
2023-11-08,Pull,Lat pullover,3,23.0,11.0,253.0
2023-11-08,Pull,Lat pullover,2,23.0,11.0,253.0
2023-11-08,Pull,Lat pullover,1,18.0,17.0,306.0
2023-11-08,Pull,Cable rows,2,25.0,14.0,350.0
2023-11-09,Legs,Lat pullover,3,20.0,8.0,160.0
2023-11-09,Legs,Lat pullover,2,20.0,9.0,180.0
2023-11-09,Legs,Lat pullover,1,15.0,13.0,195.0
2023-11-09,Legs,Overhead triceps extension,3,5.0,9.0,45.0
2023-11-09,Legs,Tricep pushdown,2,20.0,13.0,260.0
2023-11-09,Legs,Tricep pushdown,1,20.0,11.0,220.0
2023-11-09,Legs,Lat Pulldown,1,30.0,8.0,240.0
2023-11-09,Legs,Overhead triceps extension,2,5.0,10.0,50.0
2023-11-09,Legs,Tricep pushdown,3,25.0,9.0,225.0
2023-11-09,Legs,Lat Pulldown,2,30.0,8.0,240.0
2023-11-09,Legs,Cable rows,4,30.0,12.0,360.0
2023-11-09,Legs,Cable rows,2,25.0,12.0,300.0
2023-11-09,Legs,Cable rows,3,25.0,15.0,375.0
2023-11-09,Legs,Rev pec dec,1,15.0,13.0,195.0
2023-11-09,Legs,Rev pec dec,2,15.0,10.0,150.0
2023-11-09,Legs,Rev pec dec,3,15.0,10.0,150.0
2023-11-09,Legs,Preacher curls,1,10.0,10.0,100.0
2023-11-09,Legs,Preacher curls,2,10.0,9.0,90.0
2023-11-09,Legs,Preacher curls,3,10.0,8.0,80.0
2023-11-09,Legs,Single arm preacher curls,1,3.0,8.0,24.0
2023-11-09,Legs,Overhead triceps extension,1,5.0,12.0,60.0
2023-11-09,Legs,Lat Pulldown,3,30.0,8.0,240.0
2023-11-09,Legs,Bench press,4,30.0,10.0,300.0
2023-11-09,Legs,Cable rows,1,20.0,12.0,240.0
2023-11-09,Legs,Bench press,2,35.0,5.0,175.0
2023-11-09,Legs,Lying Leg curls,1,15.0,10.0,150.0
2023-11-09,Legs,Lying Leg curls,2,15.0,10.0,150.0
2023-11-09,Legs,Lying Leg curls,3,15.0,9.0,135.0
